skeletal	muscle: 1710
hydroxyprostaglandin	dehydrogenase: 2
hydroxymethylglutaryl-CoA	reductase: 2
histidine	decarboxylase: 2
granzyme	B: 2
glutathione	transferase: 2
glutamic-pyruvic	transaminase: 2
glutamic-oxaloacetic	transaminase: 2
glucosamine-6-phosphate	deaminase: 2
gelatinase	B: 2
gamma-glutamylcysteine	synthetase: 2
dipeptidyl-peptidase	IV: 2
diacylglycerol	kinase: 2
diacylglycerol	hydrolase: 2
diacylglycerol	O-acyltransferase: 2
deoxyribonucleic	acid: 2
cystathionine	gamma-lyase: 2
cystathionine	beta-synthase: 2
complex	IV: 2
cholesterol	esterase: 2
cathepsin	L: 2
casein	kinase: 2
carnitine	acetyltransferase: 2
acyl-CoA	thioesterase: 2
acyl	dehydrogenase: 2
acetoacetyl-CoA	synthetase: 2
S-adenosylhomocysteine	hydrolase: 2
RNase	A: 2
D-dopachrome	tautomerase: 2
3-oxoacyl-CoA	thiolase: 2
3-hydroxy-3-methylglutaryl-CoA	reductase: 2
xanthine	oxidoreductase: 1
xanthine	dehydrogenase: 1
urea	carboxylase: 1
tyrosine	decarboxylase: 1
tissue	kallikrein: 1
thymidine	kinase: 1
thromboxane	synthase: 1
sterol	12alpha-hydroxylase: 1
stem	bromelain: 1
squalene	synthase: 1
squalene	epoxidase: 1
sn-glycerol-3-phosphate	acyltransferase: 1
serum	tryptase: 1
serine	kinase: 1
serine	carboxypeptidase: 1
retinol	saturase: 1
protoporphyrinogen	oxidase: 1
proteinase	K: 1
protein	phosphatase-1: 1
protein	farnesyltransferase: 1
prostaglandin-endoperoxide	synthase: 1
prostacyclin	synthase: 1
propionyl-CoA	carboxylase: 1
prolyl	carboxypeptidase: 1
prolyl	4-hydroxylase: 1
proline	oxidase: 1
proline	dehydrogenase: 1
photosystem	II: 1
phosphotyrosine	phosphatase: 1
phospholipase	A1: 1
phosphoglycerate	mutase: 1
ornithine	carbamyltransferase: 1
nucleoside	diphosphate: 1
nitrite	reductase: 1
nitrate	reductase: 1
myosin	ATPase: 1
monoacylglycerol	acyltransferase: 1
matrix	metalloproteinase-1: 1
malate	synthase: 1
liver	lipase: 1
kallikrein	7: 1
intestinal	sucrase: 1
inositol	phosphatase: 1
hypoxanthine	phosphoribosyltransferase: 1
homocysteine	methyltransferase: 1
histone	acetylase: 1
glyceraldehyde-3-phosphate	dehydrogenase: 1
glutathione	synthetase: 1
glutathione	oxidase: 1
glutamine	synthetase: 1
glutamic-oxalacetic	transaminase: 1
glutamate	dehydrogenase: 1
glucosylceramide	synthase: 1
fructose-bisphosphate	aldolase: 1
firefly	luciferase: 1
fatty-acid	synthase: 1
farnesyl-diphosphate	farnesyltransferase: 1
factor	D: 1
estrogen	sulfotransferase: 1
dopamine	beta-hydroxylase: 1
dihydropteridine	reductase: 1
dihydrofolate	reductase: 1
diamine	oxidase: 1
debranching	enzyme: 1
cytochrome	P-450: 1
cortisone	reductase: 1
complex	V: 1
cholesterol	25-hydroxylase: 1
ceramide	glucosyltransferase: 1
cathepsin	Z: 1
cathepsin	H: 1
cathepsin	C: 1
carnitine	O-palmitoyltransferase: 1
carnitine	O-acetyltransferase: 1
carboxypeptidase	H: 1
carboxypeptidase	D: 1
butyryl-CoA	dehydrogenase: 1
branching	enzyme: 1
botulinum	neurotoxin: 1
betaine-homocysteine	methyltransferase: 1
beta-hydroxybutyrate	dehydrogenase: 1
antigen	PSA: 1
aminopeptidase	N: 1
aminopeptidase	A: 1
alpha-methylacyl-CoA	racemase: 1
alkaline	protease: 1
alanyl	aminopeptidase: 1
alanine-glyoxylate	aminotransferase: 1
adenosine	triphosphatase: 1
acyl-CoA	ligase: 1
acid	phosphohydrolase: 1
acetyl-CoA	synthetase: 1
PDH	kinase: 1
O-GlcNAc	transferase: 1
NADH	diaphorase: 1
GSH	reductase: 1
GSH	peroxidase: 1
DOPA	decarboxylase: 1
DNase	I: 1
DNA	polymerase: 1
DNA	methylase: 1
CMP-Neu5Ac	hydroxylase: 1
6-pyruvoyl	tetrahydropterin: 1
3-ketoacyl-CoA	thiolase: 1
3-hydroxyisobutyrate	dehydrogenase: 1
3-hydroxyacyl-CoA	dehydrogenase: 1
3-hydroxy-3-methylglutaryl-CoA	synthase: 1
15-hydroxyprostaglandin	dehydrogenase: 1
